# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE
1668		ʃ - a -	280	1S VERBAL FUTURE	SanMartin	sha		ʃ a	sha		sha-sapa: exclusive	coombs1976
1735		ʃ - a q	280	1S VERBAL FUTURE	SanPedro	shaq		ʃ a q	shaq			shimelman2017
1857		s - a χ	280	1S VERBAL FUTURE	Santiagueno	saq		s a χ	saq		infrequent, periphrastic future is preferred	juanatey2020
1948		ʃ - a q	280	1S VERBAL FUTURE	Tarma	shaq		ʃ a q	shaq			adelaar1977
2170		ʃ a		1S VERBAL FUTURE	Imbabura	sha		ʃ a				cole1985
#
795		m a + ɾ ai k i	4 308	2 SUBJECT 1 OBJECT PRETERIT	Ferrenafe	marayki		m a + ɾ ai k i	marayki			taylor1982
#
231		w a n k i k u	306	2 SUBJECT 1PL OBJECT	Ayacucho	wankiku		w a n k i k u	wankiku			parker1969
#
796		ɾ ai k i	308	2 SUBJECT 3 OBJECT PRETERIT	Ferrenafe	rayki		ɾ ai k i	rayki			taylor1982
#
1208		j aː n k i	313	2PL SUBJECT	HuarazHuailas	yaanki		j aː n k i	yaanki			parker1976
#
132		w a n k i tʃ i s	315	2PL SUBJECT 1S OBJECT	Apurimac	wankichis		w a n k i tʃ i s	wankichis, waychis			camacho2006
133		w a - j - tʃ i s	315	2PL SUBJECT 1S OBJECT	Apurimac	waychis		w a j tʃ i s	wankichis, waychis			camacho2006
232		w a n k i tʃ i k	315	2PL SUBJECT 1S OBJECT	Ayacucho	wankičik		w a n k i tʃ i k	wankičik			
#
320		n k a n g i tʃ i	322	2PL VERBAL FUTURE	Azuay	ncanguichi		n k a n g i tʃ i	ncanguichi			cordero1955
1279		n k a n g i tʃ i	322	2PL VERBAL FUTURE	Inga	ncanguichi		n k a n g i tʃ i	ncanguichi			tandioy1978
#
11		w a q	325	2S CONDITIONAL	Apuri	waq		w a q	waq			shimelman2017
233		w a χ	325	2S CONDITIONAL	Ayacucho	waq		w a χ	waq			parker1969
397		w a q	325	2S CONDITIONAL	Cacra-Hongos	waq		w a q	waq			shimelman2017
697		w a q	325	2S CONDITIONAL	Cuzco	waq		w a q	waq			cusihuaman1976
873		n k i + m a n	326	2S CONDITIONAL	Huallaga	nkiman		n k i + m a n	nkiman			weber1996
1092		w a q	325	2S CONDITIONAL	Huangascar	waq		w a q	waq			shimelman2017
1410		w a q	325	2S CONDITIONAL	Lincha-Tana	waq		w a q	waq			shimelman2017
1736		w a q	325	2S CONDITIONAL	SanPedro	waq		w a q	waq			shimelman2017
1858		ŋ k i + m a n	326	2S CONDITIONAL	Santiagueno	nkiman		ŋ k i + m a n	nkiman			juanatey2020
2046		n k i + m a n	387	2S CONDITIONAL	Cajamarca	nki-man		n k i + m a n				
2112		n k i + m a n		2S CONDITIONAL	Chachapoyas	nki-man		n k i + m a n				taylor1979
2133		n k i + m a n		2S CONDITIONAL	Tarma	nki-man		n k i + m a n				
2154		n k i + m a n		2S CONDITIONAL	SanMartin	nki-man		n k i + m a n				
2171		n g i + m a n		2S CONDITIONAL	Imbabura	ngui-man		n g i + m a n				cole1985
2302		n g i + m a n		2S CONDITIONAL	Chimborazo	ngiman		n g i + m a n	ngiman			
#
698		j	335	2S IMPERATIVE	Cuzco	y		j	y			cusihuaman1976
#
12		ʃ - u	337	2S OBJECT	Apuri	shu		ʃ u	shu		shu/su	shimelman2017
398		ʃ - u	337	2S OBJECT	Cacra-Hongos	shu		ʃ u	shu		shu/su	shimelman2017
797		ç u	205	2S OBJECT	Ferrenafe	shu		ç u	shu			taylor1982
874		ʃ - u	337	2S OBJECT	Huallaga	šu		ʃ u	šu			
1093		ʃ - u	337	2S OBJECT	Huangascar	shu		ʃ u	shu		shu/su	shimelman2017
1411		ʃ - u	337	2S OBJECT	Lincha-Tana	shu		ʃ u	shu		shu/su	shimelman2017
1523		m u	338	2S OBJECT	Pacaraos	mu		m u	mu		también es cislocativ	adelaar1987
1737		ʃ - u	337	2S OBJECT	SanPedro	shu		ʃ u	shu		shu/su	shimelman2017
1859		s - u	337	2S OBJECT	Santiagueno	su		s u	su			juanatey2020
1949		ʃ - u	337	2S OBJECT	Tarma	shu		ʃ u	shu			adelaar1977
2037		s u		2S OBJECT	Ayacucho	su		s u				
2047		ʃ u		2S OBJECT	Cajamarca	shu		ʃ u				
2113		i k i		2S OBJECT	Chachapoyas	yki		i k i				taylor1979
2153		ʃ u		2S OBJECT	SanMartin	shu		ʃ u				
2249		ʃ u		2S OBJECT	HuarazHuailas	shu		ʃ u				
2272		k i		2S OBJECT	Cuzco	ki		k i			also -nki	
#
13		j k i	348	2S POSSESSOR	Apuri	yki		j k i	yki			shimelman2017
135		- k i	348	2S POSSESSOR	Apurimac	ki		k i	ki			camacho2006
234		j k i	348	2S POSSESSOR	Ayacucho	yki		j k i	yki		ku for plural	parker1969
399		j k i	348	2S POSSESSOR	Cacra-Hongos	yki		j k i	yki			shimelman2017
512		j k i	348	2S POSSESSOR	Cajamarca	yki		j k i	yki			quesada2006
579		i k i	348	2S POSSESSOR	Chachapoyas	yki		i k i	yki			taylor1979
798		i k i	348	2S POSSESSOR	Ferrenafe	yki		i k i	yki			taylor1982
875		j k i	348	2S POSSESSOR	Huallaga	yki		j k i	yki		/-ki/ después de /-i/, /-yki/ después de otras V cortas	weber1996
1000		j k i	348	2S POSSESSOR	Huanca	yki		j k i	yki			cerron1976
1094		j k i	348	2S POSSESSOR	Huangascar	yki		j k i	yki			shimelman2017
1356		i k i	348	2S POSSESSOR	Laraos	yki		i k i	yki			taylor1990
1412		j k i	348	2S POSSESSOR	Lincha-Tana	yki		j k i	yki			shimelman2017
1524		j k i	348	2S POSSESSOR	Pacaraos	yki		j k i	yki,			adelaar1987
1608		j k i	348	2S POSSESSOR	Pastaza	yki		j k i	yki		/-ki/ tras C	landerman1973
1669		j k i	348	2S POSSESSOR	SanMartin	yki		j k i	yki		chi en plural	coombs1976
1738		j k i	348	2S POSSESSOR	SanPedro	yki		j k i	yki			shimelman2017
1860		j k i	348	2S POSSESSOR	Santiagueno	yki		j k i	yki			juanatey2020
1950		j k i	348	2S POSSESSOR	Tarma	yki		j k i	yki			adelaar1977
2239		j k i	348	2S POSSESSOR	HuarazHuailas	yki		j k i				
2267		j k i	348	2S POSSESSOR	Cuzco	yki		j k i				
#
136		w a n k i k u	367	2S SUBJECT 1PL OBJECT	Apurimac	wankiku		w a n k i k u	wankiku, wayku			camacho2006
137		w a j k - - u	367	2S SUBJECT 1PL OBJECT	Apurimac	wayku		w a j k u	wankiku, wayku			camacho2006
#
14		w a n - - k i	370	2S SUBJECT 1S OBJECT	Apuri	wanki		w a n k i	wanki			shimelman2017
138		w a n - - k i	370	2S SUBJECT 1S OBJECT	Apurimac	wanki		w a n k i	wanki, way			camacho2006
139		w a j	371	2S SUBJECT 1S OBJECT	Apurimac	way		w a j	wanki, way			camacho2006
235		w a n - - k i	370	2S SUBJECT 1S OBJECT	Ayacucho	wanki		w a n k i	wanki			parker1969
400		w a n - - k i	370	2S SUBJECT 1S OBJECT	Cacra-Hongos	wanki		w a n k i	wanki			shimelman2017
699		w a n - - k i	370	2S SUBJECT 1S OBJECT	Cuzco	wanki		w a n k i	wanki			cusihuaman1976
799		m a + n k i	4 370	2S SUBJECT 1S OBJECT	Ferrenafe	manki		m a + n k i	manki			taylor1982
876		m a n - - k i	370	2S SUBJECT 1S OBJECT	Huallaga	manki		m a n k i	manki			weber1996
1095		w a n - - k i	370	2S SUBJECT 1S OBJECT	Huangascar	wanki		w a n k i	wanki			shimelman2017
1209		m aː n - - k i	370	2S SUBJECT 1S OBJECT	HuarazHuailas	maanki		m aː n k i	maanki			parker1976
1413		w a n - - k i	370	2S SUBJECT 1S OBJECT	Lincha-Tana	wanki		w a n k i	wanki			shimelman2017
1525		m aː i k i	370	2S SUBJECT 1S OBJECT	Pacaraos	maayki		m aː i k i	maayki			adelaar1987
1670		w a n - - k i	370	2S SUBJECT 1S OBJECT	SanMartin	wanki		w a n k i	wanki			coombs1976
1739		w a n - - k i	370	2S SUBJECT 1S OBJECT	SanPedro	wanki		w a n k i	wanki			shimelman2017
1861		w a ŋ - - k i	370	2S SUBJECT 1S OBJECT	Santiagueno	wanki		w a ŋ k i	wanki			juanatey2020
1951		m a j - - k i	370	2S SUBJECT 1S OBJECT	Tarma	mayki		m a j k i	mayki			adelaar1977
2048		w a		2S SUBJECT 1S OBJECT	Cajamarca	wa		w a				
2114		w a + n k i		2S SUBJECT 1S OBJECT	Chachapoyas	wa-nki		w a + n k i				taylor1979
2172		w a + n g i		2S SUBJECT 1S OBJECT	Imbabura	wa-ngui		w a + n g i				cole1985
#
15		n - k i	387	2S VERBAL	Apuri	nki		n k i	nki			shimelman2017
140		n - k i	387	2S VERBAL	Apurimac	nki		n k i	nki			camacho2006
236		n - k i	387	2S VERBAL	Ayacucho	nki		n k i	nki			parker1969
321		n - g i	387	2S VERBAL	Azuay	ngui		n g i	ngui			cordero1955
401		n - k i	387	2S VERBAL	Cacra-Hongos	nki		n k i	nki			shimelman2017
513		n - k i	387	2S VERBAL	Cajamarca	nki		n k i	nki			quesada2006
580		n - k i	387	2S VERBAL	Chachapoyas	nki		n k i	nki			taylor1979
637		n - g i	387	2S VERBAL	Chimborazo	ngi		n g i	ngi			
700		n - k i	387	2S VERBAL	Cuzco	nki		n k i	nki			cusihuaman1976
800		n - k i	387	2S VERBAL	Ferrenafe	nki		n k i	nki			taylor1982
877		n - k i	387	2S VERBAL	Huallaga	nki		n k i	nki			weber1996
1001		n - k i	387	2S VERBAL	Huanca	nki		n k i	nki			cerron1976
1096		n - k i	387	2S VERBAL	Huangascar	nki		n k i	nki			shimelman2017
1210		n - k i	387	2S VERBAL	HuarazHuailas	nki		n k i	nki		misma forma para el futuro	parker1976
1280		n - g i	387	2S VERBAL	Inga	ngui		n g i	ngui			tandioy1978
1357		n - k i	387	2S VERBAL	Laraos	nki		n k i	nki			taylor1990
1414		n - k i	387	2S VERBAL	Lincha-Tana	nki		n k i	nki			shimelman2017
1526		- j k i	348	2S VERBAL	Pacaraos	yki		j k i	yki		La forma -ki aparece tras i, tras otras vocales es yki	adelaar1987
1609		n - g i	387	2S VERBAL	Pastaza	ngi		n g i	ngi			landerman1973
1671		n - k i	387	2S VERBAL	SanMartin	nki		n k i	nki			coombs1976
1740		n - k i	387	2S VERBAL	SanPedro	nki		n k i	nki			shimelman2017
1862		ŋ - k i	387	2S VERBAL	Santiagueno	nki		ŋ k i	nki			juanatey2020
1952		n - k i	387	2S VERBAL	Tarma	nki		n k i	nki			adelaar1977
2173		n g i		2S VERBAL	Imbabura	ngui		n g i				cole1985
#
322		n k a n g i	411	2S VERBAL FUTURE	Azuay	ncangui		n k a n g i	ncangui			cordero1955
1281		n k a n g i	411	2S VERBAL FUTURE	Inga	ncangui		n k a n g i	ncangui			tandioy1978
#
801		m a + ç a	4 414	3 SUBJECT 1 OBJECT CONCL. PAST	Ferrenafe	masha		m a + ç a	masha			taylor1982
#
802		m a + ɾ a n	4 420	3 SUBJECT 1 OBJECT PRETERIT	Ferrenafe	maran		m a + ɾ a n	maran			taylor1982
#
803		ç u + ç a	205 418	3 SUBJECT 2 OBJECT CONCL. PAST	Ferrenafe	shusha		ç u + ç a	shusha			taylor1982
#
804		ç u + ɾ a n	205 420	3 SUBJECT 2 OBJECT PRETERIT	Ferrenafe	shuran		ç u + ɾ a n	shuran			taylor1982
#
805		ɾ a n	420	3 SUBJECT 3 OBJECT PRETERIT	Ferrenafe	ran		ɾ a n	ran			
#
806		m a ç a n tʃ i k	424	3 SUBJECT 4 OBJECT CONCL. PAST	Ferrenafe	mashanchik		m a ç a n tʃ i k	mashanchik			taylor1982
#
807		m a ɾ a n tʃ i k	426	3 SUBJECT 4 OBJECT PRETERIT	Ferrenafe	maranchik		m a ɾ a n tʃ i k	maranchik			taylor1982
#
638		n g a k u n a	428	3PL FUTURE	Chimborazo	ngakuna		n g a k u n a	ngakuna			beukema1975
1610		n g a k u n a	428	3PL FUTURE	Pastaza	ngakuna		n g a k u n a	ngakuna			landerman1973
#
1211		j aː n	434	3PL SUBJECT	HuarazHuailas	yaan		j aː n	yaan			parker1976
#
142		n - k - - u	436	3PL VERBAL	Apurimac	nku		n k u	nku,nqaku			camacho2006
143		n - q a k u	436	3PL VERBAL	Apurimac	nqaku		n q a k u	nku,nqaku			camacho2006
323		n - k u n a	436	3PL VERBAL	Azuay	ncuna		n k u n a	ncuna			cordero1955
639		n - k u n a	436	3PL VERBAL	Chimborazo	nkuna		n k u n a	nkuna			beukema1975
1282		n - k u n a	436	3PL VERBAL	Inga	ncuna		n k u n a	ncuna			tandioy1978
1612		n a x u n -	436	3PL VERBAL	Pastaza	najun		n a x u n	najun			landerman1973
#
324		n g a k u n a	443	3PL VERBAL FUTURE	Azuay	ngacuna		n g a k u n a	ngacuna			cordero1955
1283		n g a k u n a	443	3PL VERBAL FUTURE	Inga	ngacuna		n g a k u n a	ngacuna			tandioy1978
#
16		n q a	446	3S FUTURE	Apuri	nqa		n q a	nqa			shimelman2017
144		n q a	446	3S FUTURE	Apurimac	nqa		n q a	nqa			camacho2006
237		n χ a	446	3S FUTURE	Ayacucho	nqa		n χ a	nqa		-qa for all future forms	parker1969
325		n g a	446	3S FUTURE	Azuay	nga		n g a	nga			cordero1955
402		n q a	446	3S FUTURE	Cacra-Hongos	nqa		n q a	nqa			shimelman2017
514		n χ a	446	3S FUTURE	Cajamarca	nqa		n χ a	nqa			quesada2006
640		n g a	446	3S FUTURE	Chimborazo	nga		n g a	nga			
808		- g a	446	3S FUTURE	Ferrenafe	nqa		g a	nqa			taylor1982
878		n q a	446	3S FUTURE	Huallaga	nqa		n q a	nqa			weber1996
1002		n q a	446	3S FUTURE	Huanca	nqa		n q a	nqa			cerron1976
1097		n q a	446	3S FUTURE	Huangascar	nqa		n q a	nqa			shimelman2017
1212		n q a	446	3S FUTURE	HuarazHuailas	nqa		n q a	nqa			parker1976
1284		n g a	446	3S FUTURE	Inga	nga		n g a	nga			tandioy1978
1415		n q a	446	3S FUTURE	Lincha-Tana	nqa		n q a	nqa			shimelman2017
1527		n q a	446	3S FUTURE	Pacaraos	nqa		n q a	nqa			adelaar1987
1613		n g a	446	3S FUTURE	Pastaza	nga		n g a	nga			landerman1973
1741		n q a	446	3S FUTURE	SanPedro	nqa		n q a	nqa			shimelman2017
1863		ŋ q a	446	3S FUTURE	Santiagueno	nqa		ŋ q a	nqa		infrequent, periphrastic future is preferred	juanatey2020
1953		n q a	446	3S FUTURE	Tarma	nqa		n q a	nqa			adelaar1977
2072		n q a		3S FUTURE	Laraos	nqa		n q a				
2115		n k a		3S FUTURE	Chachapoyas	nka		n k a				taylor1979
2152		n k a		3S FUTURE	SanMartin	nka		n k a				
2174		n g a		3S FUTURE	Imbabura	nga		n g a				cole1985
2265		q a		3S FUTURE	Cuzco	qa		q a				
#
17		n	466	3S POSSESSOR	Apuri	n		n	n			shimelman2017
145		n	466	3S POSSESSOR	Apurimac	n		n	n			camacho2006
238		n	466	3S POSSESSOR	Ayacucho	n		n	n		ku for plural	parker1969
403		n	466	3S POSSESSOR	Cacra-Hongos	n		n	n			shimelman2017
515		n	466	3S POSSESSOR	Cajamarca	n		n	n			quesada2006
581		n	466	3S POSSESSOR	Chachapoyas	n		n	n			taylor1979
809		n	546	3S POSSESSOR	Ferrenafe	n		n	n			
879		n	466	3S POSSESSOR	Huallaga	n		n	n		/-n/ después de V cortas, otherwise -ni is added	weber1996
1003		n	466	3S POSSESSOR	Huanca	n		n	n			cerron1976
1098		n	466	3S POSSESSOR	Huangascar	n		n	n			shimelman2017
1213		n	466	3S POSSESSOR	HuarazHuailas	n		n	n			parker1976
1358		n	466	3S POSSESSOR	Laraos	n		n	n			
1416		n	466	3S POSSESSOR	Lincha-Tana	n		n	n			shimelman2017
1528		n	466	3S POSSESSOR	Pacaraos	n		n	n			adelaar1987
1614		n	466	3S POSSESSOR	Pastaza	n		n	n		ø tras C	landerman1973
1672		n	466	3S POSSESSOR	SanMartin	n		n	n			coombs1976
1742		n	466	3S POSSESSOR	SanPedro	n		n	n			shimelman2017
1864		n	466	3S POSSESSOR	Santiagueno	n		n	n			juanatey2020
1954		n	466	3S POSSESSOR	Tarma	n		n	n			adelaar1977
2266		n	466	3S POSSESSOR	Cuzco	n		n				
#
18		w a - n tʃ i k -	486	3S SUBJECT 1PL OBJECT	Apuri	wanchik		w a n tʃ i k	wanchik			shimelman2017
146		w a - n tʃ i s -	486	3S SUBJECT 1PL OBJECT	Apurimac	wanchis		w a n tʃ i s	wanchis, wanku, wanqaku			camacho2006
147		w a - n k - - u	486	3S SUBJECT 1PL OBJECT	Apurimac	wanku		w a n k u	wanchis, wanku, wanqaku			camacho2006
148		w a - n q a k u	486	3S SUBJECT 1PL OBJECT	Apurimac	wanqaku		w a n q a k u	wanchis, wanku, wanqaku			camacho2006
239		w a - n tʃ i k -	486	3S SUBJECT 1PL OBJECT	Ayacucho	wančik		w a n tʃ i k	wančik			
404		m a - n tʃ i k -	486	3S SUBJECT 1PL OBJECT	Cacra-Hongos	manchik		m a n tʃ i k	manchik			shimelman2017
701		w a - n tʃ i s -	486	3S SUBJECT 1PL OBJECT	Cuzco	wanchis		w a n tʃ i s	wanchis			cusihuaman1976
810		m a + n tʃ i k	4 486	3S SUBJECT 1PL OBJECT	Ferrenafe	manchik		m a + n tʃ i k	manchik			taylor1982
880		m a - n tʃ - - i	486	3S SUBJECT 1PL OBJECT	Huallaga	manči		m a n tʃ i	manči			
1099		m a - n tʃ i k -	486	3S SUBJECT 1PL OBJECT	Huangascar	manchik		m a n tʃ i k	manchik			shimelman2017
1214		m aː - n ts i k -	486	3S SUBJECT 1PL OBJECT	HuarazHuailas	maantsik		m aː n ts i k	maantsik			parker1976
1359		w a - n tʃ i k -	486	3S SUBJECT 1PL OBJECT	Laraos	wanchik		w a n tʃ i k	wanchik			taylor1990
1417		w a - n tʃ i k -	486	3S SUBJECT 1PL OBJECT	Lincha-Tana	wanchik		w a n tʃ i k	wanchik			shimelman2017
1529		m aː n s i	486	3S SUBJECT 1PL OBJECT	Pacaraos	maansi		m aː n s i	maansi			adelaar1987
1743		m a - n tʃ i k -	486	3S SUBJECT 1PL OBJECT	SanPedro	manchik		m a n tʃ i k	manchik			shimelman2017
1865		- a - j k - - u	486	3S SUBJECT 1PL OBJECT	Santiagueno	ayku		a j k u	ayku			juanatey2020
2049		w a + ʎ a p a		3S SUBJECT 1PL OBJECT	Cajamarca	wallapa		w a + ʎ a p a				
2116		w a + n + tʃ i		3S SUBJECT 1PL OBJECT	Chachapoyas	wa-nchi		w a + n + tʃ i				taylor1979
2132		m a + n + tʃ i		3S SUBJECT 1PL OBJECT	Tarma	ma-n-chi		m a + n + tʃ i				
2151		w a + n + tʃ i		3S SUBJECT 1PL OBJECT	SanMartin	wa-n-chi		w a + n + tʃ i				
#
240		w a n k u	503	3S SUBJECT 1PL OBJECT EXCL	Ayacucho	wanku		w a n k u	wanku			parker1969
#
241		w a s u n - - -	505	3S SUBJECT 1PL OBJECT FUTURE	Ayacucho	wasun		w a s u n	wasun, wasunčik			
242		w a s u n tʃ i k	505	3S SUBJECT 1PL OBJECT FUTURE	Ayacucho	wasunčik		w a s u n tʃ i k	wasun, wasunčik			
881		m aː ʃ u n - - -	505	3S SUBJECT 1PL OBJECT FUTURE	Huallaga	maːšun		m aː ʃ u n	maːšun			
#
19		w a - n - -	509	3S SUBJECT 1S OBJECT	Apuri	wan		w a n	wan			shimelman2017
149		w a - n - -	509	3S SUBJECT 1S OBJECT	Apurimac	wan		w a n	wan, wanqa			camacho2006
150		w a - n q a	509	3S SUBJECT 1S OBJECT	Apurimac	wanqa		w a n q a	wan, wanqa			camacho2006
243		w a - n - -	509	3S SUBJECT 1S OBJECT	Ayacucho	wan		w a n	wan			parker1969
405		m a - n - -	509	3S SUBJECT 1S OBJECT	Cacra-Hongos	man		m a n	man			shimelman2017
702		w a - n - -	509	3S SUBJECT 1S OBJECT	Cuzco	wan		w a n	wan			cusihuaman1976
811		m a + n	4 546	3S SUBJECT 1S OBJECT	Ferrenafe	man		m a + n	man			taylor1982
882		m a - n - -	509	3S SUBJECT 1S OBJECT	Huallaga	man		m a n	man			weber1996
1100		m a - n - -	509	3S SUBJECT 1S OBJECT	Huangascar	man		m a n	man			shimelman2017
1215		m aː - n - -	509	3S SUBJECT 1S OBJECT	HuarazHuailas	maan		m aː n	maan			parker1976
1418		w a - n - -	509	3S SUBJECT 1S OBJECT	Lincha-Tana	wan		w a n	wan			shimelman2017
1530		m aː n	509	3S SUBJECT 1S OBJECT	Pacaraos	maan		m aː n	maan			adelaar1987
1744		m a - n - -	509	3S SUBJECT 1S OBJECT	SanPedro	man		m a n	man			shimelman2017
1866		w a - n - -	509	3S SUBJECT 1S OBJECT	Santiagueno	wan		w a n	wan			juanatey2020
2050		w a		3S SUBJECT 1S OBJECT	Cajamarca	wa		w a				
2076		w a n		3S SUBJECT 1S OBJECT	Laraos	wan		w a n				
2117		w a + n		3S SUBJECT 1S OBJECT	Chachapoyas	wa-n		w a + n				taylor1979
2131		m a + n		3S SUBJECT 1S OBJECT	Tarma	ma-n		m a + n				
2150		w a + n		3S SUBJECT 1S OBJECT	SanMartin	wa-n		w a + n				
#
1867		s u n	524	3S SUBJECT 2P OBJECT	Santiagueno	su-n		s u n	sun			juanatey2020
#
703		s u n k i tʃ i s	526	3S SUBJECT 2PL OBJECT	Cuzco	sunkichis		s u n k i tʃ i s	sunkichis			cusihuaman1976
#
20		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	Apuri	shunki		ʃ u n k i	shunki			shimelman2017
151		s - u n k - - i -	528	3S SUBJECT 2S OBJECT	Apurimac	sunki		s u n k i	sunki			camacho2006
244		s - u n k - - i -	528	3S SUBJECT 2S OBJECT	Ayacucho	sunki		s u n k i	sunki			parker1969
245		s - u n k i tʃ i k	528	3S SUBJECT 2S OBJECT	Ayacucho	sunkičik		s u n k i tʃ i k	sunkičik			
406		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	Cacra-Hongos	shunki		ʃ u n k i	shunki			shimelman2017
582		ʃ - u - - - - - -	528	3S SUBJECT 2S OBJECT	Chachapoyas	šu		ʃ u	šu		lamas: not restricted to 3Subjet	taylor1979
704		s - u - - - - - -	528	3S SUBJECT 2S OBJECT	Cuzco	su		s u	su			cusihuaman1976
812		ç u + n	205 546	3S SUBJECT 2S OBJECT	Ferrenafe	shun		ç u + n	shun			taylor1982
883		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	Huallaga	šunki		ʃ u n k i	šunki			
1004		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	Huanca	shunki		ʃ u n k i	shunki			cerron1976
1101		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	Huangascar	shunki		ʃ u n k i	shunki			shimelman2017
1216		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	HuarazHuailas	shunki		ʃ u n k i	shunki			parker1976
1360		s - u n k - - i -	528	3S SUBJECT 2S OBJECT	Laraos	sunki		s u n k i	sunki			taylor1990
1419		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	Lincha-Tana	shunki		ʃ u n k i	shunki			shimelman2017
1531		ç - u n - - - - -	528	3S SUBJECT 2S OBJECT	Pacaraos	shun		ç u n	shun			adelaar1987
1673		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	SanMartin	shunki		ʃ u n k i	shunki		lamas: not restricted to 3Subjet	coombs1976
1745		ʃ - u n k - - i -	528	3S SUBJECT 2S OBJECT	SanPedro	shunki		ʃ u n k i	shunki			shimelman2017
2051		ʃ u + n k i		3S SUBJECT 2S OBJECT	Cajamarca	shunki		ʃ u + n k i				
2130		ʃ u + n k i		3S SUBJECT 2S OBJECT	Tarma	shunki		ʃ u + n k i				
2140		s u + n		3S SUBJECT 2S OBJECT	Santiagueno	su-n		s u + n				
#
21		n	546	3S VERBAL	Apuri	n		n	n			shimelman2017
152		n	546	3S VERBAL	Apurimac	n		n	n			camacho2006
246		n	546	3S VERBAL	Ayacucho	n		n	n		ku for plural	parker1969
326		n	546	3S VERBAL	Azuay	n		n	n		no se marca siempre	cordero1955
407		n	546	3S VERBAL	Cacra-Hongos	n		n	n			shimelman2017
516		n	546	3S VERBAL	Cajamarca	n		n	n			quesada2006
641		n	546	3S VERBAL	Chimborazo	n		n	n			
705		n	546	3S VERBAL	Cuzco	n		n	n			cusihuaman1976
813		n	546	3S VERBAL	Ferrenafe	n		n	n			
884		n	546	3S VERBAL	Huallaga	n		n	n			weber1996
1005		n	546	3S VERBAL	Huanca	n		n	n			cerron1976
1102		n	546	3S VERBAL	Huangascar	n		n	n			shimelman2017
1217		n	546	3S VERBAL	HuarazHuailas	n		n	n			parker1976
1285		n	546	3S VERBAL	Inga	n		n	n		no se marca siempre	tandioy1978
1361		n	546	3S VERBAL	Laraos	n		n	n			
1420		n	546	3S VERBAL	Lincha-Tana	n		n	n			shimelman2017
1532		n	546	3S VERBAL	Pacaraos	n		n	n			adelaar1987
1615		n	546	3S VERBAL	Pastaza	n		n	n			landerman1973
1746		n	546	3S VERBAL	SanPedro	n		n	n			shimelman2017
1868		n	546	3S VERBAL	Santiagueno	n		n	n			juanatey2020
1955		n	546	3S VERBAL	Tarma	n		n	n			adelaar1977
2118		n		3S VERBAL	Chachapoyas	n		n				taylor1979
2149		n		3S VERBAL	SanMartin	n		n				
2175		n		3S VERBAL	Imbabura	n		n				cole1985
#
814		ɾ a n tʃ i k	568	4 SUBJECT 3 OBJECT PRETERIT	Ferrenafe	ranchik		ɾ a n tʃ i k	ranchik			taylor1982
#
22		p a q - -	570	ABLATIVE	Apuri	paq		p a q	paq			shimelman2017
153		m a n t a	571	ABLATIVE	Apurimac	manta		m a n t a	manta			camacho2006
247		m a n t a	571	ABLATIVE	Ayacucho	manta		m a n t a	manta			parker1969
327		m a n d a	571	ABLATIVE	Azuay	manda		m a n d a	manda			cordero1955
408		p a q - -	570	ABLATIVE	Cacra-Hongos	paq		p a q	paq			shimelman2017
517		m a n t a	571	ABLATIVE	Cajamarca	manta		m a n t a	manta			quesada2006
583		m a n t a	571	ABLATIVE	Chachapoyas	manta		m a n t a	manta			taylor1979
642		m a n t a	571	ABLATIVE	Chimborazo	manta		m a n t a	manta			
706		m a n t a	571	ABLATIVE	Cuzco	manta		m a n t a	manta			cusihuaman1976
815		m a n t a	571	ABLATIVE	Ferrenafe	manta		m a n t a	manta			taylor1982
885		p i - t a	5	ABLATIVE	Huallaga	pita		p i t a	pita			weber1996
1006		p i q t a	5	ABLATIVE	Huanca	piqta		p i q t a	piqta			cerron1976
1103		p a q - -	570	ABLATIVE	Huangascar	paq		p a q	paq			shimelman2017
1218		m a m p a	2	ABLATIVE	HuarazHuailas	mampa		m a m p a	mampa		phon. alternation of manta	parker1976
1219		p e q - -	570	ABLATIVE	HuarazHuailas	peq		p e q	peq, pita		'de’ ‘desde’	parker1976
1220		p i - t a	5	ABLATIVE	HuarazHuailas	pita		p i t a	peq, pita		'de’ ‘desde’	parker1976
1286		m a n d a	571	ABLATIVE	Inga	manda		m a n d a	manda			tandioy1978
1362		m a n t a	571	ABLATIVE	Laraos	manta		m a n t a	manta			taylor1990
1421		p a q - -	570	ABLATIVE	Lincha-Tana	paq		p a q	paq			shimelman2017
1533		p i q - -	570	ABLATIVE	Pacaraos	piq		p i q	piq, piqta			adelaar1987
1534		p i q t a	5	ABLATIVE	Pacaraos	piqta		p i q t a	piq, piqta			adelaar1987
