ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SOURCE	TOKENS	VALUE	NOTE	BORROWING
338	k a -	905	CONTRASTIVE	Azuay	ca	cordero1955	k a	c, ca	llevé a Pacho. A María no	
339	m a -	911	DATIVE/ILATIVE	Azuay	ma	cordero1955	m a	ma		
341	n a j a	939	DESIDERATIVE	Azuay	naya	cordero1955	n a j a	naya		
342	a g	961	DESPECTIVE	Azuay	ag	cordero1955	a g	ag, ash, ans	personas despreciadas	
343	a - ʃ	962	DESPECTIVE	Azuay	ash	cordero1955	a ʃ	ag, ash, ans	personas despreciadas	
344	a n s	962	DESPECTIVE	Azuay	ans	cordero1955	a n s	ag, ash, ans	personas despreciadas	
345	tʃ u	976	DIMINUTIVE	Azuay	zhu	cordero1955	tʃ u	tum		
346	- - k u	17	PROGRESSIVE	Azuay	cu	cordero1955	k u	cu, nacu	nacu para plural	
347	n a k u	17	PROGRESSIVE	Azuay	nacu	cordero1955	n a k u	cu, nacu	nacu para plural	
349	t a t a	1097	RESTRICTIVE	Azuay	tata	cordero1955	t a t a	llata, tata	esa misma noche, ese mismo rio	
350	tʃ a ɾ -	19	EVIDENTIAL CONJECTURAL	Azuay	char	cordero1955	tʃ a ɾ	char		
351	m i	1157	EVIDENTIAL DIRECT	Azuay	mi	cordero1955	m i	mi		
352	s i	1198	EVIDENTIAL REPORTATIVE	Azuay	si	cordero1955	s i	si		
353	m a	1310	FRUSTRATIVE	Azuay	ma	cordero1955	m a	ma	hubera llevado; aspecto verbal	
354	p a -	1315	GENITIVE	Azuay	pa	cordero1955	p a	pa		
355	i	30	IMPERATIVE	Azuay	y	cordero1955	i	y, ychi		
356	j tʃ i	1362	IMPERATIVE 1P	Azuay	ychi	cordero1955	j tʃ i	y, ychi	sg/plural	
357	s u n + tʃ u	1386	IMPERATIVE 1P	Azuay	sunchu	cordero1955	s u n + tʃ u	sunchu, nacusunchi	sg/pl	
359	- ɾ i	1397	INCEPTIVE	Azuay	ri	cordero1955	ɾ i	ri		
360	j a	1419	INCHOATIVE	Azuay	ya	cordero1955	j a	ya		
361	i	30	INFINITIVE	Azuay	y	cordero1955	i	y		
362	tʃ u -	1486	INJUNCTIVE	Azuay	chu	cordero1955	tʃ u	chu		
363	w a	15	INSTRUMENTAL-COMITATIVE	Azuay	hua	cordero1955	w a	hua		
364	k a m a -	1578	LIMITATIVE	Azuay	cama	cordero1955	k a m a	cama		
365	p i	1603	LOCATIVE	Azuay	pi	cordero1955	p i	pi		
366	tʃ u	1682	NEGATION	Azuay	chu	cordero1955	tʃ u	chu		
367	n g a	36	NOMINALIZER NQA	Azuay	nga	cordero1955	n g a	nga	nominalizer nqa?	
368	ɾ q a	1770	PAST TENSE	Azuay	rqa	cordero1955	ɾ q a	rqa		
369	s q a	1800	PERFECT	Azuay	sca	cordero1955	s q a	sca		
370	s q a	1800	PERFECTIVIZER	Azuay	sca	cordero1955	s q a	sca		
371	k u n a	1855	PLURAL	Azuay	cuna	cordero1955	k u n a	cuna		
372	- h i m	1880	POOR	Azuay	jim	cordero1955	h i m	jim, ajim	“pobre hombrecito”	
373	a h i m	1880	POOR	Azuay	ajim	cordero1955	a h i m	jim, ajim	“pobre hombrecito”	
374	j u g ( - - )	1887	POSSESSIVE	Azuay	yug	cordero1955	j u g	yug		
375	n g a p a	1910	POTENTIALIS	Azuay	ngapa	cordero1955	n g a p a	ngapa	+ kay; voy a llevar, iba a llevar (karquani)	
376	n g a p a	1939	SUBORDINATOR	Azuay	ngapa	cordero1955	n g a p a	ngapa	subordination	
377	tʃ i	766	CAUSATIVE	Azuay	chi	cordero1955	tʃ i	chi		
378	n d i	2001	RELATIONAL	Azuay	ndi	cordero1955	n d i	ndi	cayandi: al dia siguiente (dia que tiene relación con otro)	
379	ʎ a	2039	RESTRICTIVE	Azuay	lla	cordero1955	ʎ a	lla		
380	g t a	2110	SUBORDINATOR CONSEQUENCE	Azuay	gta	cordero1955	g t a	gta	limitative= bebió hasta que se emborrachó; direct consequence from main verb	
381	s p a	2113	SUBORDINATOR IDSUB	Azuay	spa	cordero1955	s p a	spa		
382	o ɾ a	2141	SUBORDINATOR SAME-TIME	Azuay	hora	cordero1955	o ɾ a	hora	prestado del castellano	esp
383	g p i	26	SUBORDINATOR DIFFSUB	Azuay	gpi	cordero1955	g p i	gpi		
384	n i g	2175	SURROUNDINGS	Azuay	nig	cordero1955	n i g	nig		
385	p u	2201	VERBAL BENEFACTIVE	Azuay	pu	cordero1955	p u	pu		
386	w a	3	1 OBJECT	Azuay	hua	cordero1955	w a	hua	me llevó; complemento del verbo en la primera persona	
387	m a	4	1 OBJECT	Cacra-Hongos	ma	shimelman2017	m a	ma		
388	j k i	24	1S SUBJECT 2S OBJECT	Cacra-Hongos	yki	shimelman2017	j k i	yki		
389	n tʃ i k	58	1PL POSSESSOR	Cacra-Hongos	nchik	shimelman2017	n tʃ i k	nchik		
390	n tʃ i k	58	1PL VERBAL	Cacra-Hongos	nchik	shimelman2017	n tʃ i k	nchik		
391	tʃ u - + w a n	111 3	1PL VERBAL CONDITIONAL	Cacra-Hongos	chuwan	shimelman2017	tʃ u + w a n	chuwan		
392	ʃ u n	111	1PL VERBAL FUTURE	Cacra-Hongos	shun	shimelman2017	ʃ u n	shun		
393	t a n t a + ø/a	155 31	1S POSSESSOR	Cacra-Hongos	tantaː	shimelman2017	t a n t a + ø/a	tantaː		
394	ʃ q a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Cacra-Hongos	shqayki	shimelman2017	ʃ q a + j k i	shqayki	variation between sh and s	
395	k aː + ø/a	234 236	1S VERBAL	Cacra-Hongos	kaː	shimelman2017	k aː + ø/a	kaː		
396	ʃ a q -	280	1S VERBAL FUTURE	Cacra-Hongos	shaq	shimelman2017	ʃ a q	shaq		
397	n k i + m a n	326 40	2S CONDITIONAL	Cacra-Hongos	nki-man	shimelman2017	n k i + m a n	waq		
398	ʃ u - - -	337	2S OBJECT	Cacra-Hongos	shu	shimelman2017	ʃ u	shu		
399	j k i	348	2S POSSESSOR	Cacra-Hongos	yki	shimelman2017	j k i	yki		
400	w a + n k i	3 370	2S SUBJECT 1S OBJECT	Cacra-Hongos	wanki	shimelman2017	w a + n k i	wanki		
401	n k i	370	2S VERBAL	Cacra-Hongos	nki	shimelman2017	n k i	nki		
402	n q a	446	3S FUTURE	Cacra-Hongos	nqa	shimelman2017	n q a	nqa		
403	n	466	3S POSSESSOR	Cacra-Hongos	n	shimelman2017	n	n		
404	m a + n tʃ i k	4 486	3S SUBJECT 1PL OBJECT	Cacra-Hongos	manchik	shimelman2017	m a + n tʃ i k	manchik		
405	m a + n	4 546	3S SUBJECT 1S OBJECT	Cacra-Hongos	man	shimelman2017	m a + n	man		
406	ʃ u - - - + n k i	337 528	3S SUBJECT 2S OBJECT	Cacra-Hongos	shunki	shimelman2017	ʃ u + n k i	shunki		
407	n	546	3S VERBAL	Cacra-Hongos	n	shimelman2017	n	n		
408	p a q	1	ABLATIVE	Cacra-Hongos	paq	shimelman2017	p a q	paq		
409	- ʃ i	598	ACCOMPANIMENT	Cacra-Hongos	shi	shimelman2017	ʃ i	shi,si		
410	- s i	598	ACCOMPANIMENT	Cacra-Hongos	si	shimelman2017	s i	shi,si		
411	k t a	10	ACCUSATIVE	Cacra-Hongos	kta	shimelman2017	k t a	kta		
412	p i s	639	ADDITIVE	Cacra-Hongos	pis	shimelman2017	p i s	pis,s		
414	q	674	AGENTIVE	Cacra-Hongos	q	shimelman2017	q	q		
415	p a q	720	BENEFACTIVE	Cacra-Hongos	paq	shimelman2017	p a q	paq		
416	tʃ i	766	CAUSATIVE	Cacra-Hongos	chi	shimelman2017	tʃ i	chi		
418	m u	800	CISLOCATIVE	Cacra-Hongos	mu	shimelman2017	m u	mu		
419	h i n a	824	COMPARATIVE	Cacra-Hongos	hina	shimelman2017	h i n a	hina		
420	m a n	853	CONDITIONAL	Cacra-Hongos	man	shimelman2017	m a n	man		
421	ɾ a q	877	CONTINUATIVE	Cacra-Hongos	raq	shimelman2017	ɾ a q	raq		
422	m a n	911	DATIVE/ILATIVE	Cacra-Hongos	man	shimelman2017	m a n	man		
423	n a j a	939	DESIDERATIVE	Cacra-Hongos	naya	shimelman2017	n a j a	naya		
424	ɾ a j a	968	DETRANSITIVIZER	Cacra-Hongos	raya	shimelman2017	ɾ a j a	raya		
425	tʃ a	976	DIMINUTIVE	Cacra-Hongos	cha	shimelman2017	tʃ a	cha		
426	ɲ a	1019	DISCONTINUATIVE	Cacra-Hongos	ña	shimelman2017	ɲ a	ña		
427	tʃ u	1029	DISJUNCTIVE	Cacra-Hongos	chu	shimelman2017	tʃ u	chu		
428	tʃ ai	1036	DISTAL DEMONSTRATIVE	Cacra-Hongos	chay	shimelman2017	tʃ ai	chay		
429	w a k	1046	DISTAL REMOVED DEMONSTRATIVE	Cacra-Hongos	wak	shimelman2017	w a k	wak		
431	j - a	16	PROGRESSIVE	Cacra-Hongos	ya	shimelman2017	j a	ya		
432	a l i	1095	EMPHATIC	Cacra-Hongos	ali	shimelman2017	a l i	ali		
433	- ( - ) j a ( - )	20	INTENSIFIER	Cacra-Hongos	ya	shimelman2017	j a	ya		
434	ʈ i	18	EVIDENTIAL CONJECTURAL	Cacra-Hongos	tri	shimelman2017	ʈ i	tri,tr		
435	ʈ -	18	EVIDENTIAL CONJECTURAL	Cacra-Hongos	tr	shimelman2017	ʈ	tri,tr		
436	m i	1157	EVIDENTIAL DIRECT	Cacra-Hongos	mi	shimelman2017	m i	mi,m		
437	m -	1157	EVIDENTIAL DIRECT	Cacra-Hongos	m	shimelman2017	m	mi,m		
438	i k	1184	EVIDENTIAL MODIFIER	Cacra-Hongos	ik	shimelman2017	i k	ik		
439	- i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Cacra-Hongos	iki	shimelman2017	i k i	iki		
440	ʃ i	1198	EVIDENTIAL REPORTATIVE	Cacra-Hongos	shi	shimelman2017	ʃ i	shi,sh		
441	ʃ -	1198	EVIDENTIAL REPORTATIVE	Cacra-Hongos	sh	shimelman2017	ʃ	shi,sh		
442	i k u	1228	EXCEPTIONAL	Cacra-Hongos	yku	shimelman2017	i k u	yku,yka/ika/iku		
443	i k a	1228	EXCEPTIONAL	Cacra-Hongos	yka	shimelman2017	i k a	yku,yka/ika/iku		
444	i k a	1228	EXCEPTIONAL	Cacra-Hongos	ika	shimelman2017	i k a	yku,yka/ika/iku		
445	i k u	1228	EXCEPTIONAL	Cacra-Hongos	iku	shimelman2017	i k u	yku,yka/ika/iku		
446	p u ɾ a	1256	EXCLUSIVE	Cacra-Hongos	pura	shimelman2017	p u ɾ a	pura		
447	tʃ a	1272	FACTIVE	Cacra-Hongos	cha	shimelman2017	tʃ a	cha		
448	- k a ʈ a	1295	FREQUENTIVE	Cacra-Hongos	katra	shimelman2017	k a ʈ a	katra		
449	p a -	1315	GENITIVE	Cacra-Hongos	pa	shimelman2017	p a	pa,pi		
450	p i -	1315	GENITIVE	Cacra-Hongos	pi	shimelman2017	p i	pa,pi		
451	i	30	IMPERATIVE	Cacra-Hongos	y	shimelman2017	i	y		
452	- ɾ i	1397	INCEPTIVE	Cacra-Hongos	ri	shimelman2017	ɾ i	ri		
453	j a	1419	INCHOATIVE	Cacra-Hongos	ya	shimelman2017	j a	ya		
454	n t i n	1443	INCLUSIVE	Cacra-Hongos	ntin	shimelman2017	n t i n	ntin		
455	i	30	INFINITIVE	Cacra-Hongos	y	shimelman2017	i	y		
456	tʃ u n	1486	INJUNCTIVE	Cacra-Hongos	chun	shimelman2017	tʃ u n	chun		
457	w a n	1507	INSTRUMENTAL-COMITATIVE	Cacra-Hongos	wan	shimelman2017	w a n	wan		
461	t a m u	1553	IRREVERSIBLE CHANGE	Cacra-Hongos	tamu	shimelman2017	t a m u	tamu		
463	p aː k u	1561	JOINT ACTION	Cacra-Hongos	paːku	shimelman2017	p aː k u	paku,paːku		
464	k a m a -	1578	LIMITATIVE	Cacra-Hongos	kama	shimelman2017	k a m a	kama		
465	p a	1603	LOCATIVE	Cacra-Hongos	pa	shimelman2017	p a	pa,pi		
466	p i	1603	LOCATIVE	Cacra-Hongos	pi	shimelman2017	p i	pa,pi		
467	ʈ au	1604	LOCATIVE	Cacra-Hongos	traw	shimelman2017	ʈ au	traw		
468	k u	1637	MIDDLE VOICE	Cacra-Hongos	ku	shimelman2017	k u	ku	U	
469	s a p a	1656	MULTIPLE POSSESSIVE	Cacra-Hongos	sapa	shimelman2017	s a p a	sapa		
470	p u k u	1676	MUTUAL BENEFIT	Cacra-Hongos	puku	shimelman2017	p u k u	puku		
471	tʃ u	1682	NEGATION	Cacra-Hongos	chu	shimelman2017	tʃ u	chu		
472	n a	1711	NOMINALIZER NA	Cacra-Hongos	na	shimelman2017	n a	na		
474	m a s i	1746	PARTNERSHIP	Cacra-Hongos	masi	shimelman2017	m a s i	masi		
475	k a	1758	PASSIVE ACCIDENTAL	Cacra-Hongos	ka	shimelman2017	k a	ka		
476	l q a	1770	PAST TENSE	Cacra-Hongos	lqa	shimelman2017	l q a	lqa		
477	ʃ - a	1800	PERFECT	Cacra-Hongos	sha	shimelman2017	ʃ a	sha,sa		
478	s - a	1800	PERFECT	Cacra-Hongos	sa	shimelman2017	s a	sha,sa		
479	ʃ - a	1800	PERFECTIVIZER	Cacra-Hongos	sha	shimelman2017	ʃ a	sha,sa	nmlz	
480	s - a	1800	PERFECTIVIZER	Cacra-Hongos	sa	shimelman2017	s a	sha,sa	nmlz	
481	k u n a	1855	PLURAL	Cacra-Hongos	kuna	shimelman2017	k u n a	kuna		
482	j o q ( - - )	1887	POSSESSIVE	Cacra-Hongos	yuq	shimelman2017	j o q	yuq		
483	a m a	1918	PROHIBITIVE	Cacra-Hongos	ama	shimelman2017	a m a	ama		
484	k ai	1927	PROXIMAL DEMONSTRATIVE	Cacra-Hongos	kay	shimelman2017	k ai	kay		
486	ɾ ai k u	1948	REASON	Cacra-Hongos	rayku	shimelman2017	ɾ ai k u	rayku		
487	n a k u	1976	RECIPROCAL	Cacra-Hongos	naku	shimelman2017	n a k u	naku,naka		
488	n a k a	1976	RECIPROCAL	Cacra-Hongos	naka	shimelman2017	n a k a	naku,naka		
489	p a	2008	REPETITIVE	Cacra-Hongos	pa	shimelman2017	p a	pa		
490	ʃ q a	2021	REPORTATIVE PAST TENSE	Cacra-Hongos	shqa	shimelman2017	ʃ q a	shqa		
491	ʎ a	2039	RESTRICTIVE	Cacra-Hongos	lla	shimelman2017	ʎ a	lla		
492	t a q	2063	SEQUENTIAL	Cacra-Hongos	taq	shimelman2017	t a q	taq		
493	t u k u	2082	SIMULATIVE	Cacra-Hongos	tuku	shimelman2017	t u k u	tuku		
494	ʃ t i n	2097	SUBORDINATOR ADVERBIAL	Cacra-Hongos	shtin	shimelman2017	ʃ t i n	shtin		
495	ʃ p a	2113	SUBORDINATOR IDSUB	Cacra-Hongos	shpa	shimelman2017	ʃ p a	shpa		
496	p t i	2144	SUBORDINATOR DIFFSUB	Cacra-Hongos	pti	shimelman2017	p t i	pti		
497	q a	2178	TOPIC	Cacra-Hongos	qa	shimelman2017	q a	qa		
498	p u	2201	VERBAL BENEFACTIVE	Cacra-Hongos	pu	shimelman2017	p u	pu,pa		
499	p a	2201	VERBAL BENEFACTIVE	Cacra-Hongos	pa	shimelman2017	p a	pu,pa		
500	l a	11	UNINTERRUPTED ACTION	Cacra-Hongos	la	shimelman2017	l a	la		
501	n a	2270	VERBALIZER	Cacra-Hongos	na	shimelman2017	n a	na	some reciprocal action	
502	w a	3	1 OBJECT	Cajamarca	wa	quesada2006	w a	wa	also 3>1	
503	j k i	24	1S SUBJECT 2S OBJECT	Cajamarca	yki	quesada2006	j k i	yki		
505	n tʃ i k	58	1PL POSSESSOR	Cajamarca	nchik	quesada2006	n tʃ i k	nchik		
506	n tʃ i k	58	1PL VERBAL	Cajamarca	nchik	quesada2006	n tʃ i k	nchik		
507	ʃ u n	111	1PL VERBAL FUTURE	Cajamarca	shun	quesada2006	ʃ u n	shun		
508	t a n t a + j	155 156	1S POSSESSOR	Cajamarca	tanta-y	quesada2006	t a n t a + j	tanta-y		
509	s u - + - - χ -	111 280	1S SUBJECT 2S OBJECT FUTURE	Cajamarca	su q	quesada2006	s u + χ	su q		
510	k a + n i	234 235	1S VERBAL	Cajamarca	ka-ni	quesada2006	k a + n i	ka-ni		
511	ʃ - χ a	280	1S VERBAL FUTURE	Cajamarca	shqa	quesada2006	ʃ χ a	shqa		
512	j k i	348	2S POSSESSOR	Cajamarca	yki	quesada2006	j k i	yki		
513	n k i	370	2S VERBAL	Cajamarca	nki	quesada2006	n k i	nki		
514	n χ a	446	3S FUTURE	Cajamarca	nqa	quesada2006	n χ a	nqa		
515	n	466	3S POSSESSOR	Cajamarca	n	quesada2006	n	n		
516	n	546	3S VERBAL	Cajamarca	n	quesada2006	n	n		
517	m a n t a	571	ABLATIVE	Cajamarca	manta	quesada2006	m a n t a	manta		
518	t a	614	ACCUSATIVE	Cajamarca	ta	quesada2006	t a	ta		
519	p i s	639	ADDITIVE	Cajamarca	pis	quesada2006	p i s	pis		
520	n t i -	1443	INCLUSIVE	Cajamarca	nti	quesada2006	n t i	nti		
521	χ	674	AGENTIVE	Cajamarca	q	quesada2006	χ	q		
522	p a χ	720	BENEFACTIVE	Cajamarca	paq	quesada2006	p a χ	paq		
523	tʃ k a	748	BETTER	Cajamarca	chka	quesada2006	tʃ k a	chka	“I better run”	
524	t a χ	754	INTERROGATION	Cajamarca	taq	quesada2006	t a χ	taq		
525	tʃ i	766	CAUSATIVE	Cajamarca	chi	quesada2006	tʃ i	chi		
526	m u	800	CISLOCATIVE	Cajamarca	mu	quesada2006	m u	mu		
527	ʃ i n a	824	COMPARATIVE	Cajamarca	shina	quesada2006	ʃ i n a	shina		
528	m a n	853	CONDITIONAL	Cajamarca	man	quesada2006	m a n	man		
529	ɾ a χ	877	CONTINUATIVE	Cajamarca	raq	quesada2006	ɾ a χ	raq		
530	m a n	911	DATIVE/ILATIVE	Cajamarca	man	quesada2006	m a n	man		
531	n a - -	939	DESIDERATIVE	Cajamarca	na	quesada2006	n a	na		
532	i j a	16	PROGRESSIVE	Cajamarca	iya	quesada2006	i j a	iya		
533	- ɾ i	1095	EMPHATIC	Cajamarca	ri	quesada2006	ɾ i	ri		
534	tʃ i	18	EVIDENTIAL CONJECTURAL	Cajamarca	chi	quesada2006	tʃ i	chi		
535	m i	1157	EVIDENTIAL DIRECT	Cajamarca	mi	quesada2006	m i	mi		
536	ʃ i	1198	EVIDENTIAL REPORTATIVE	Cajamarca	shi	quesada2006	ʃ i	shi		
537	p u ɾ a	1256	EXCLUSIVE	Cajamarca	pura	quesada2006	p u ɾ a	pura		
538	tʃ a	1272	FACTIVE	Cajamarca	cha	quesada2006	tʃ a	cha		
539	- k a tʃ a	1295	FREQUENTIVE	Cajamarca	kacha	quesada2006	k a tʃ a	kacha		
540	p a -	1315	GENITIVE	Cajamarca	pa	quesada2006	p a	pa		
542	i	30	IMPERATIVE	Cajamarca	y	quesada2006	i	y		
543	- ɾ i	1397	REPETITIVE	Cajamarca	ri	quesada2006	ɾ i	ri		
544	j a	1419	INCHOATIVE	Cajamarca	ya	quesada2006	j a	ya		
545	i	30	INFINITIVE	Cajamarca	y	quesada2006	i	y		
546	w a n	1507	INSTRUMENTAL-COMITATIVE	Cajamarca	wan	quesada2006	w a n	wan		
547	k a m a n	1578	LIMITATIVE	Cajamarca	kaman	quesada2006	k a m a n	kaman		
548	p i	1603	LOCATIVE	Cajamarca	pi	quesada2006	p i	pi		
549	k u	1637	MIDDLE VOICE	Cajamarca	ku	quesada2006	k u	ku	U	
550	s a p a	1656	MULTIPLE POSSESSIVE	Cajamarca	sapa	quesada2006	s a p a	sapa		
551	tʃ u	1682	NEGATION	Cajamarca	chu	quesada2006	tʃ u	chu		
552	n a	1711	NOMINALIZER NA	Cajamarca	na	quesada2006	n a	na		
553	m a s i	1746	PARTNERSHIP	Cajamarca	masi	quesada2006	m a s i	masi		
554	ɾ χ a	1770	PAST TENSE	Cajamarca	rqa	quesada2006	ɾ χ a	rqa, ra		
555	ɾ - a	1770	PAST TENSE	Cajamarca	ra	quesada2006	ɾ a	rqa, ra		
556	s χ a	1800	PERFECT	Cajamarca	sqa	quesada2006	s χ a	sqa, a		
557	- - a	1800	PERFECT	Cajamarca	a	quesada2006	a	sqa, a		
558	s χ a	1800	PERFECTIVIZER	Cajamarca	sqa	quesada2006	s χ a	sqa		
559	k u n a	1855	PLURAL	Cajamarca	kuna	quesada2006	k u n a	kuna		
560	j u χ ( - - )	1887	POSSESSIVE	Cajamarca	yuq	quesada2006	j u χ	yuq		
561	ɾ ai k u	1948	REASON	Cajamarca	rayku	quesada2006	ɾ ai k u	rayku		
562	n a - -	1976	RECIPROCAL	Cajamarca	na	quesada2006	n a	na		
563	ʎ a	2039	RESTRICTIVE	Cajamarca	lla	quesada2006	ʎ a	lla	solamente,  nomás	
564	t a χ	2063	SEQUENTIAL	Cajamarca	taq	quesada2006	t a χ	taq		
565	t i - -	32	SIMULATIVE	Cajamarca	ti	quesada2006	t i	ti		
566	ʃ t i -	2097	SUBORDINATOR ADVERBIAL	Cajamarca	shti	quesada2006	ʃ t i	shti	“acción que es columinación de otra”	
567	ʃ p a	2113	SUBORDINATOR IDSUB	Cajamarca	shpa	quesada2006	ʃ p a	shpa		
568	p t i	2144	SUBORDINATOR DIFFSUB	Cajamarca	pti	quesada2006	p t i	pti		
569	χ a	2178	TOPIC	Cajamarca	qa	quesada2006	χ a	qa		
570	p a	2201	VERBAL BENEFACTIVE	Cajamarca	pa	quesada2006	p a	pa		
571	n a	2270	VERBALIZER	Cajamarca	na	quesada2006	n a	na		
572	w a	3	1 OBJECT	Chachapoyas	wa	taylor1979	w a	wa		
573	j k i	24	1S SUBJECT 2S OBJECT	Chachapoyas	yki	taylor1979	j k i	yki		
574	n tʃ i -	58	1PL POSSESSOR	Chachapoyas	nči	taylor1979	n tʃ i	nči		
575	ʃ u n + - tʃ i -	111 58	1PL VERBAL FUTURE	Chachapoyas	šunči	taylor1979	ʃ u n + tʃ i	šunči		
576	t a n t a + j	155 156	1S POSSESSOR	Chachapoyas	tanta-y	taylor1979	t a n t a + j	tanta-y		
577	k a + n i	234 235	1S VERBAL	Chachapoyas	ka-ni	taylor1979	k a + n i	ka-ni		
578	ʃ a - -	280	1S VERBAL FUTURE	Chachapoyas	ša	taylor1979	ʃ a	ša		
579	i k i	348	2S POSSESSOR	Chachapoyas	yki	taylor1979	i k i	yki		
580	n k i	370	2S VERBAL	Chachapoyas	nki	taylor1979	n k i	nki		
581	n	466	3S POSSESSOR	Chachapoyas	n	taylor1979	n	n		
583	m a n t a	571	ABLATIVE	Chachapoyas	manta	taylor1979	m a n t a	manta		
584	t a	614	ACCUSATIVE	Chachapoyas	ta	taylor1979	t a	ta		
585	k	674	AGENTIVE	Chachapoyas	k	taylor1979	k	k		
586	j u p ai	704	ASSIMILATIVE	Chachapoyas	yupay	taylor1979	j u p ai	yupay, šina		
587	ʃ i n a	705	ASSIMILATIVE	Chachapoyas	šina	taylor1979	ʃ i n a	yupay, šina		
588	p a -	720	BENEFACTIVE	Chachapoyas	pa	taylor1979	p a	pa	same as genitive	
589	tʃ i	766	CAUSATIVE	Chachapoyas	či	taylor1979	tʃ i	či		
590	m u	800	CISLOCATIVE	Chachapoyas	mu	taylor1979	m u	mu		
591	m a n	853	CONDITIONAL	Chachapoyas	man	taylor1979	m a n	man		
592	m a n	911	DATIVE/ILATIVE	Chachapoyas	man	taylor1979	m a n	man		
593	n a j a	939	DESIDERATIVE	Chachapoyas	naya	taylor1979	n a j a	naya		
594	i k a	16	PROGRESSIVE	Chachapoyas	yka	taylor1979	i k a	yka		
595	tʃ a	18	EVIDENTIAL CONJECTURAL	Chachapoyas	ča	taylor1979	tʃ a	ča		
596	m i	1157	EVIDENTIAL DIRECT	Chachapoyas	mi	taylor1979	m i	mi		
597	ʃ i	1198	EVIDENTIAL REPORTATIVE	Chachapoyas	ši	taylor1979	ʃ i	ši		
598	p u r a	1256	EXCLUSIVE	Chachapoyas	pura	taylor1979	p u r a	pura	„only men“	
599	tʃ a	1272	FACTIVE	Chachapoyas	ča	taylor1979	tʃ a	ča	to make	
600	p a -	1315	GENITIVE	Chachapoyas	pa	taylor1979	p a	pa		
601	i	30	IMPERATIVE	Chachapoyas	y	taylor1979	i	y		
602	- r i	1397	INCEPTIVE	Chachapoyas	ri	taylor1979	r i	ri		
603	j a	1419	INCHOATIVE	Chachapoyas	ya	taylor1979	j a	ya		
604	n t i n	1443	INCLUSIVE	Chachapoyas	ntin	taylor1979	n t i n	ntin		
605	i	30	INFINITIVE	Chachapoyas	y	taylor1979	i	y		
606	tʃ u n	1486	INJUNCTIVE	Chachapoyas	čun	taylor1979	tʃ u n	čun		
607	w a n	1507	INSTRUMENTAL-COMITATIVE	Chachapoyas	wan	taylor1979	w a n	wan		
608	k a m a n	1578	LIMITATIVE	Chachapoyas	kaman	taylor1979	k a m a n	kaman		
609	p i	1603	LOCATIVE	Chachapoyas	pi	taylor1979	p i	pi		
610	k u	1637	MIDDLE VOICE	Chachapoyas	ku	taylor1979	k u	ku		
611	s a p a	1656	MULTIPLE POSSESSIVE	Chachapoyas	sapa	taylor1979	s a p a	sapa		
612	tʃ u	1682	NEGATION	Chachapoyas	ču	taylor1979	tʃ u	ču		
613	n a	1711	NOMINALIZER NA	Chachapoyas	na	taylor1979	n a	na		
614	r k a	1770	PAST TENSE	Chachapoyas	rka	taylor1979	r k a	rka		
615	ʃ k a	1800	PERFECT	Chachapoyas	ška	taylor1979	ʃ k a	ška		
616	ʃ k a	1800	PERFECTIVIZER	Chachapoyas	ška	taylor1979	ʃ k a	ška		
617	k u n a	1855	PLURAL	Chachapoyas	kuna	taylor1979	k u n a	kuna		
618	j u k ( - - )	1887	POSSESSIVE	Chachapoyas	yuk	taylor1979	j u k	yuk		
619	ɾ ai k u	1948	REASON	Chachapoyas	rayku	taylor1979	ɾ ai k u	rayku		
620	n a k u	1976	RECIPROCAL	Chachapoyas	naku	taylor1979	n a k u	naku		
621	ʎ a	2039	RESTRICTIVE	Chachapoyas	lla	taylor1979	ʎ a	lla		
622	ʃ p a	2113	SUBORDINATOR IDSUB	Chachapoyas	špa	taylor1979	ʃ p a	špa, šnin, štin	no distinguishing wrt adverbial subord	
623	ʃ n i n	2097	SUBORDINATOR ADVERBIAL	Chachapoyas	šnin	taylor1979	ʃ n i n	špa, šnin, štin		
624	ʃ t i n	2097	SUBORDINATOR ADVERBIAL	Chachapoyas	štin	taylor1979	ʃ t i n	špa, šnin, štin		
625	p t i	2144	SUBORDINATOR DIFFSUB	Chachapoyas	pti	taylor1979	p t i	pti		
626	q a	2178	TOPIC	Chachapoyas	qa	taylor1979	q a	qa, ta		
627	t a	2179	TOPIC	Chachapoyas	ta	taylor1979	t a	qa, ta	ta: formas interrogatives, en Lamas más amplio también	
628	p u	2201	VERBAL BENEFACTIVE	Chachapoyas	pu	taylor1979	p u	pu		
629	r a	11	UNINTERRUPTED ACTION	Chachapoyas	ra	taylor1979	r a	ra		
630	- s a p a	2263	VERBAL PLURAL	Chachapoyas	sapa	taylor1979	s a p a	sapa		
631	w a	3	1 OBJECT	Chimborazo	wa	beukema1975	w a	wa	This suffix indicates that the speaker is either the patient or the receiver of the action of the verb. If the verb is ditransitive, the speaker is receiver, not patient: /saki-wa-y/, leave-REC-IMP, ‘let me go’.	
632	n tʃ i k	58	1PL VERBAL	Chimborazo	ncik	beukema1975	n tʃ i k	ncik		
